lid,tid,div,year,wins,losses,ties,apWins,apLosses,apTies,pf,pa,pdiff,pp,ppp,pw,pl,pp_pct,pmax,pmin,pdev,doi,pSlot1,pSlot2,pSlot3,pSlot4,pSlot5,pSlot6,pSlot7,pSlot8,pSlot9,pSlot10,pSlot11,pSlot12,pSlot13,pSlot14,pSlot15,pSlot16,pSlot17,pPosQB,pPosRB,pPosWR,pPosTE,pPosK,pPosDST,division_finish,regular_season_finish,post_season_finish
1,2,3,2021,9,5,0,81,73,0,1753.88,1703.64,50.24,1943.94,0,1,4,90.22,151,89.7,19.41,4.63,336.5,340.7,338.3,118.6,0,0,133.2,261.3,131.8,93.48,0,0,0,0,0,null,null,597.8,418.8,393.4,118.6,131.8,93.48,0,0,0
1,3,1,2021,7,7,0,89,65,0,1865.47,1867.99,-2.52,2099.95,0,2,1,88.83,164.53,110.35,16.46,6.09,260.35,445.8,383.7,93.5,0,0,126,294.6,144.2,117.32,0,0,0,0,0,null,null,547.65,513.1,449.7,93.5,144.2,117.32,0,0,0
1,4,3,2021,9,5,0,77,77,0,1749.27,1666.79,82.48,2044.82,174.84,2,3,85.55,159.95,88.23,22.3,7.39,347.6,297.3,329.1,115.8,0,0,104.6,336.65,108.8,109.42,0,0,0,0,0,null,null,679.25,309.7,426.3,115.8,108.8,109.42,0,0,0
1,5,4,2021,10,4,0,88,66,0,1826,1805.6,20.4,1971.26,0,1,3,92.63,183.31,90.92,24.83,4.83,311.3,419.4,258.75,124.3,0,0,148.5,328.15,113.1,122.5,0,0,0,0,0,null,null,639.45,540.7,285.95,124.3,113.1,122.5,0,0,0
1,6,2,2021,2,12,0,28,126,0,1392.33,1828.54,-436.21,1569.53,128.4,2,0,88.71,135.86,61.45,20.91,2.74,308.55,225.7,234.65,147.1,0,0,128,141.15,130.3,76.88,0,0,0,0,0,null,null,440.4,225.7,371.95,147.1,130.3,76.88,0,0,0
1,7,4,2021,4,10,0,56,98,0,1661.62,1847.48,-185.86,1899.82,80.08,2,1,87.46,158.38,89.72,18.41,5.24,171.4,331.8,330,164.6,0,0,162.6,279,119.6,102.62,0,0,0,0,0,null,null,450.4,331.8,492.6,164.6,119.6,102.62,0,0,0
1,8,1,2021,8,6,0,92,62,0,1829.09,1924.18,-95.09,2005.15,0,1,2,91.22,164.74,100.84,19.55,5.12,270.45,401.4,304.7,174.1,0,0,107.4,313.3,150,107.74,0,0,0,0,0,null,null,554.85,506.9,335.5,174.1,150,107.74,0,0,0
1,9,4,2021,8,6,0,88,66,0,1794.91,1583.09,211.82,2027.96,57.75,2,1,88.51,186.64,64.55,33.83,5.96,300.85,284.6,348,122.8,0,0,212.6,278.9,151.3,95.86,0,0,0,0,0,null,null,579.75,314,531.2,122.8,151.3,95.86,0,0,0
1,10,2,2021,7,7,0,86,68,0,1935.6,1727.54,208.06,2105.02,0,0,1,91.95,228.58,96.54,33.24,6.17,292.7,384.75,479.2,135.7,0,0,154,313.45,110.9,64.9,0,0,0,0,0,null,null,597.05,447.05,577.3,138.4,110.9,64.9,0,0,0
1,11,2,2021,8,6,0,82,72,0,1804.81,1632.47,172.34,2077.91,0,4,1,86.86,152.25,107.28,16,5.94,221.15,368.6,378.5,98.1,0,0,210,282.6,113.7,132.16,0,0,0,0,0,null,null,503.75,516.8,440.3,98.1,113.7,132.16,0,0,0
